,"Country,Other",TotalCases,NewCases,TotalDeaths
0,USA,"111,820,082",,"1,219,487                                "
1,India,"45,035,393",,"533,570                                "
2,France,"40,138,560",,"167,642                                "
3,Germany,"38,828,995",,"183,027                                "
4,Brazil,"38,743,918",,"711,380                                "
5,S. Korea,"34,571,873",,"35,934                                "
6,Japan,"33,803,572",,"74,694                                "
7,Italy,"26,723,249",,"196,487                                "
8,UK,"24,910,387",,"232,112                                "
9,Russia,"24,124,215",,"402,756                                "
10,Turkey,"17,232,066",,"102,174                                "
11,Spain,"13,914,811",,"121,760                                "
12,Australia,"11,853,144",,"24,414                                "
13,Vietnam,"11,625,195",,"43,206                                "
14,Taiwan,"10,241,523",,"19,005                                "
15,Argentina,"10,128,845",,"130,841                                "
16,Netherlands,"8,635,786",,"22,992                                "
17,Mexico,"7,702,809",,"334,958                                "
18,Iran,"7,627,186",,"146,811                                "
19,Indonesia,"6,829,221",,"162,063                                "
20,Poland,"6,661,991",,"120,598                                "
21,Colombia,"6,400,173",,"143,200                                "
22,Greece,"6,101,379",,"37,869                                "
23,Austria,"6,081,287",,"22,542                                "
24,Portugal,"5,643,062",,"28,126                                "
25,Ukraine,"5,557,995",,"112,418                                "
26,Chile,"5,384,853",,"64,497                                "
27,Malaysia,"5,278,406",,"37,348                                "
28,Canada,"4,946,090",,"59,034                                "
29,Belgium,"4,861,695",,"34,376                                "
30,Israel,"4,841,772",,"12,707                                "
31,DPRK,"4,772,813",,74                                
32,Thailand,"4,770,149",,"34,586                                "
33,Czechia,"4,759,041",,"43,517                                "
34,Peru,"4,572,667",,"222,161                                "
35,Switzerland,"4,453,053",,"14,452                                "
36,Philippines,"4,140,383",,"66,864                                "
37,South Africa,"4,076,463",,"102,595                                "
38,Romania,"3,529,735",,"68,929                                "
39,Denmark,"3,183,756",,"8,814                                "
40,Singapore,"3,006,155",,"2,024                                "
41,Hong Kong,"2,937,609",,"14,924                                "
42,Sweden,"2,754,129",,"27,407                                "
43,New Zealand,"2,621,111",,"5,697                                "
44,Serbia,"2,615,054",,"18,057                                "
45,Iraq,"2,465,545",,"25,375                                "
46,Hungary,"2,230,232",,"49,048                                "
47,Bangladesh,"2,049,377",,"29,493                                "
48,Slovakia,"1,877,605",,"21,224                                "
49,Georgia,"1,861,665",,"17,132                                "
50,Jordan,"1,746,997",,"14,122                                "
51,Ireland,"1,734,582",,"9,491                                "
52,Pakistan,"1,581,936",,"30,664                                "
53,Finland,"1,516,117",,"11,958                                "
54,Norway,"1,509,732",,"6,638                                "
55,Kazakhstan,"1,411,831",,"13,848                                "
56,Lithuania,"1,397,806",,"9,897                                "
57,Slovenia,"1,356,546",,"7,100                                "
58,Bulgaria,"1,339,851",,"38,748                                "
59,Croatia,"1,309,728",,"18,687                                "
60,Guatemala,"1,291,293",,"20,289                                "
61,Morocco,"1,278,992",,"16,303                                "
62,Lebanon,"1,243,838",,"10,952                                "
63,Costa Rica,"1,238,883",,"9,428                                "
64,Bolivia,"1,212,131",,"22,407                                "
65,Tunisia,"1,153,361",,"29,423                                "
66,Cuba,"1,115,251",,"8,530                                "
67,Ecuador,"1,070,188",,"36,043                                "
68,UAE,"1,067,030",,"2,349                                "
69,Panama,"1,059,893",,"8,727                                "
70,Uruguay,"1,041,111",,"7,664                                "
71,Mongolia,"1,011,496",,"2,284                                "
72,Nepal,"1,003,450",,"12,031                                "
73,Belarus,"994,037",,"7,118                                "
74,Latvia,"982,505",,"6,715                                "
75,Saudi Arabia,"841,469",,"9,646                                "
76,Paraguay,"837,602",,"20,155                                "
77,Azerbaijan,"835,234",,"10,400                                "
78,Bahrain,"729,549",,"1,574                                "
79,Cyprus,"681,110",,"1,365                                "
80,Dominican Republic,"675,890",,"4,384                                "
81,Sri Lanka,"672,754",,"16,897                                "
82,Kuwait,"667,158",,"2,570                                "
83,Myanmar,"641,873",,"19,495                                "
84,Moldova,"635,145",,"12,218                                "
85,Estonia,"628,070",,"3,001                                "
86,Palestine,"621,008",,"5,404                                "
87,Venezuela,"552,695",,"5,856                                "
88,Egypt,"516,023",,"24,613                                "
89,Qatar,"514,524",,690                                
90,Libya,"507,274",,"6,437                                "
91,Ethiopia,"501,157",,"7,574                                "
92,Réunion,"494,595",,921                                
93,Honduras,"474,590",,"11,165                                "
94,Armenia,"451,831",,"8,777                                "
95,Bosnia and Herzegovina,"403,615",,"16,388                                "
96,Oman,"399,449",,"4,628                                "
97,Luxembourg,"391,232",,"1,232                                "
98,North Macedonia,"350,567",,"9,976                                "
99,Zambia,"349,304",,"4,069                                "
100,Kenya,"344,130",,"5,689                                "
101,Brunei ,"343,719",,225                                
102,Albania,"334,863",,"3,605                                "
103,Botswana,"330,638",,"2,801                                "
104,Montenegro,"296,542",,"2,846                                "
105,Algeria,"272,010",,"6,881                                "
106,Nigeria,"267,188",,"3,155                                "
107,Zimbabwe,"266,359",,"5,740                                "
108,Uzbekistan,"253,662",,"1,637                                "
109,Afghanistan,"234,174",,"7,996                                "
110,Mozambique,"233,731",,"2,250                                "
111,Martinique,"230,354",,"1,102                                "
112,Laos,"218,970",,758                                
113,Iceland,"209,906",,229                                
114,Kyrgyzstan,"206,897",,"2,991                                "
115,Guadeloupe,"203,235",,"1,021                                "
116,El Salvador,"201,855",,"4,230                                "
117,Trinidad and Tobago,"191,496",,"4,390                                "
118,Maldives,"186,694",,316                                
119,Namibia,"172,389",,"4,106                                "
120,Uganda,"172,149",,"3,632                                "
121,Ghana,"171,889",,"1,462                                "
122,Jamaica,"156,869",,"3,756                                "
123,Cambodia,"139,103",,"3,056                                "
124,Rwanda,"133,518",,"1,468                                "
125,Cameroon,"125,379",,"1,974                                "
126,Malta,"121,420",,885                                
127,Barbados,"110,578",,648                                
128,Angola,"107,327",,"1,937                                "
129,Channel Islands,"101,717",,228                                
130,DRC,"99,338",,"1,468                                "
131,French Guiana,"98,041",,420                                
132,Malawi,"89,535",,"2,686                                "
133,Senegal,"89,053",,"1,971                                "
134,Ivory Coast,"88,384",,835                                
135,Suriname,"82,588",,"1,408                                "
136,New Caledonia,"80,064",,314                                
137,French Polynesia,"79,254",,650                                
138,Eswatini,"75,191",,"1,427                                "
139,Guyana,"74,137",,"1,300                                "
140,Belize,"71,409",,688                                
141,Fiji,"69,117",,885                                
142,Madagascar,"68,486",,"1,426                                "
143,Cabo Verde,"64,477",,417                                
144,Sudan,"63,993",,"5,046                                "
145,Mauritania,"63,848",,997                                
146,Bhutan,"62,697",,21                                
147,Syria,"57,743",,"3,165                                "
148,Burundi,"54,721",,38                                
149,Seychelles,"51,220",,172                                
150,Gabon,"49,051",,307                                
151,Andorra,"48,015",,165                                
152,Papua New Guinea,"46,864",,670                                
153,Curaçao,"45,986",,295                                
154,Aruba,"44,224",,292                                
155,Tanzania,"43,223",,846                                
156,Mauritius,"43,025",,"1,051                                "
157,Mayotte,"42,027",,188                                
158,Togo,"39,572",,290                                
159,Guinea,"38,572",,468                                
160,Bahamas,"38,084",,844                                
161,Isle of Man,"38,008",,116                                
162,Lesotho,"36,138",,723                                
163,Haiti,"34,667",,860                                
164,Faeroe Islands,"34,658",,28                                
165,Mali,"33,164",,743                                
166,Cayman Islands,"31,472",,37                                
167,Saint Lucia,"30,215",,410                                
168,Benin,"28,036",,163                                
169,Macao,"27,673",,123                                
170,Somalia,"27,334",,"1,361                                "
171,Micronesia,"26,547",,65                                
172,San Marino,"26,185",,128                                
173,Solomon Islands,"25,954",,199                                
174,Congo,"25,375",,386                                
175,Timor-Leste,"23,460",,138                                
176,Burkina Faso,"22,114",,400                                
177,Liechtenstein,"21,574",,94                                
178,Gibraltar,"20,550",,113                                
179,Grenada,"19,693",,238                                
180,Bermuda,"18,860",,165                                
181,South Sudan,"18,819",,147                                
182,Nicaragua,"18,491",,225                                
183,Tajikistan,"17,786",,125                                
184,Equatorial Guinea,"17,229",,183                                
185,Monaco,"17,181",,67                                
186,Samoa,"17,006",,31                                
187,Tonga,"16,950",,13                                
188,Marshall Islands,"16,138",,17                                
189,Dominica,"16,038",,74                                
190,Djibouti,"15,690",,189                                
191,CAR,"15,440",,113                                
192,Gambia,"12,626",,372                                
193,Saint Martin,"12,324",,63                                
194,Vanuatu,"12,019",,14                                
195,Greenland,"11,971",,21                                
196,Yemen,"11,945",,"2,159                                "
197,Caribbean Netherlands,"11,682",,38                                
198,Sint Maarten,"11,051",,92                                
199,Eritrea,"10,189",,103                                
200,Niger,"9,931",,312                                
201,St. Vincent Grenadines,"9,674",,124                                
202,Guinea-Bissau,"9,614",,177                                
203,Comoros,"9,109",,161                                
204,Antigua and Barbuda,"9,106",,146                                
205,Liberia,"8,090",,295                                
206,Sierra Leone,"7,779",,126                                
207,Chad,"7,701",,194                                
208,British Virgin Islands,"7,392",,64                                
209,Cook Islands,"7,203",,2                                
210,Sao Tome and Principe,"6,778",,80                                
211,Turks and Caicos,"6,752",,40                                
212,Saint Kitts and Nevis,"6,607",,48                                
213,Palau,"6,290",,10                                
214,St. Barth,"5,507",,6                                
215,Nauru,"5,393",,1                                
216,Kiribati,"5,085",,24                                
217,Anguilla,"3,904",,12                                
218,Wallis and Futuna,"3,550",,8                                
219,Saint Pierre Miquelon,"3,452",,2                                
220,Tuvalu,"2,943",,1                                
221,Saint Helena,"2,166",, 
222,Falkland Islands,"1,930",, 
223,Montserrat,"1,403",,8                                
224,Niue,"1,059",, 
225,Diamond Princess,712,,13                                
226,Tokelau,80,, 
227,Vatican City,29,, 
228,Western Sahara,10,,1                                
229,MS Zaandam,9,,2                                
230,China,"503,302",,"5,272                                "
231,"131,889,132",,"1,695,941",
232,"221,500,265",,"1,553,662",
233,"253,406,198",,"2,101,824",
234,"70,200,879",,"1,367,332",
235,"14,895,771",,"33,015",
236,"12,860,924",,"258,892",
237,721,,15,
238,"704,753,890",0,"7,010,681",0
